 Query1,80735
 Query2,30953
 Query3,81555
 Query4,79703
 Query5,55969
 Query6,28702
 Query7,71257
 Query8,74242
 Query9,97606
 Query10,89221
 Query11,10226
 Query12,42935
 Query13,22181
 Query14,33158
 Query15,39111
 Query16,48493
 Query17,69789
 Query18,70953
 Query19,89790
 Query20,62121
 Query21,232625
 Query22,21158
 Query1,47210
 Query2,22910
 Query3,72432
 Query4,79044
 Query5,59796
 Query6,29207
 Query7,71502
 Query8,78299
 Query9,98555
 Query10,85854
 Query11,10628
 Query12,45069
 Query13,25773
 Query14,34210
 Query15,38921
 Query16,52525
 Query17,73212
 Query18,74319
 Query19,92591
 Query20,71016
 Query21,236717
 Query22,20755
 Query1,47714
 Query2,23752
 Query3,75614
 Query4,78391
 Query5,55062
 Query6,28167
 Query7,70939
 Query8,71809
 Query9,94369
 Query10,90098
 Query11,10937
 Query12,42488
 Query13,22201
 Query14,34553
 Query15,40426
 Query16,50008
 Query17,72514
 Query18,72904
 Query19,90672
 Query20,67845
 Query21,228962
 Query22,22141
 Query1,48494
 Query2,23919
 Query3,75680
 Query4,77908
 Query5,56635
 Query6,27800
 Query7,72795
 Query8,77619
 Query9,95142
 Query10,87792
 Query11,10145
 Query12,43216
 Query13,21026
 Query14,34874
 Query15,39306
 Query16,50841
 Query17,71828
 Query18,74010
 Query19,90739
 Query20,71140
 Query21,230756
 Query22,21314
 Query1,47732
 Query2,24950
 Query3,80625
 Query4,81894
 Query5,56327
 Query6,30126
 Query7,72919
 Query8,73950
 Query9,96613
 Query10,90573
 Query11,12009
 Query12,49960
 Query13,25834
 Query14,34209
 Query15,39800
 Query16,48586
 Query17,74352
 Query18,76953
 Query19,94272
 Query20,71059
 Query21,230636
 Query22,20928
